SUPPLIER_PART_NUMBER	MANUFACTURER_NAME	MANUFACTURER_PART_NUMBER	SHORT_DESCRIPTION	LONG_DESCRIPTION	NOTES_COMMENTS	CATEGORY_OF_PRODUCT_1	CATEGORY_OF_PRODUCT_2	CATEGORY_OF_PRODUCT_3	RESELLER_BUY_EX	RRP_EX	GOV_BUY_EX	GOV_RETAIL_EX	RESELLER_BUY_INC	RRP_INC	GOV_BUY_INC	GOV_RETAIL_INC	SERIALIZED	AVAILABILITY_M	AVAILABILITY_S	EOR_MARKER	WEIGHT	HEIGHT	WIDTH	LENGTH	TOTAL_AVAILABILITY	EAN	UPC	APN	G_Code	MOQ	MOQ_TYPE
984-001848(WONDERBOOM3)	Logitech - Consumer	984-001848	ULTIMATE EARS WONDERBOOM 3 - JOYOUS BRIGHTS (GREY)	ULTIMATE EARS WONDERBOOM 3 - JOYOUS BRIGHTS (GREY)		Speaker			117.29	136.32			129.02	149.95			NO	0	128	EOR	0.560	11.8	11.5	13.2	128	097855180308	097855180308	0097855180308	b4504	1	Minimum Order Quantity
988-000448(YETI)	Logitech - Consumer	988-000448	Blue Yeti USB Mic - BLACKOUT	Blue Yeti USB Mic - BLACKOUT		Headset & Microphone			163.11	181.77			179.42	199.95			NO	308	230	EOR	1.670	25.3	12.5	15.6	538	097855160539	097855160539	0097855160539	b5358	1	Minimum Order Quantity
988-000452(YETINANO)	Logitech - Consumer	988-000452	Blue Yeti Nano USB Mic - SHADOW GREY	Blue Yeti Nano USB Mic - SHADOW GREY		Headset & Microphone			163.11	181.77			179.42	199.95			NO	128	194	EOR	0.920	22	12.7	13.8	322	097855160577	097855160577	0097855160577	b5357	1	Minimum Order Quantity
988-000502(YETI)	Logitech - Consumer	988-000502	Blue Yeti Nano USB Mic - BLACK	Blue Yeti Nano USB Mic - BLACK		Headset & Microphone			130.98	145.41			144.08	159.95			NO	16	0	EOR	0.950	12.7	22	13.8	16	97855175335	97855175335	0097855175335	DA00003748	1	Minimum Order Quantity
988-000537(YETI)	Logitech - Consumer	988-000537	Blue Yeti USB Mic - OFF WHITE	Blue Yeti USB Mic - OFF WHITE		Headset & Microphone			163.11	181.77			179.42	199.95			NO	98	0	EOR	1.660	25.1	12.6	15.7	98	097855180957	097855180957	0097855180957	b2717	1	Minimum Order Quantity
988-000538(YETI)	Logitech - Consumer	988-000538	Blue Yeti USB Mic - SWEET PINK	Blue Yeti USB Mic - SWEET PINK		Headset & Microphone			163.11	181.77			179.42	199.95			NO	6	0	EOR	1.680	25.1	12.6	15.7	6	097855180964	097855180964	0097855180964	b2718	1	Minimum Order Quantity
988-000553(YETI)	Logitech - Consumer	988-000553	Logitech G Yeti Orb RGB Gaming Mic - Black	Logitech G Yeti Orb RGB Gaming Mic - Black		Headset & Microphone			82.57	90.86			90.83	99.95			NO	148	0	EOR	0.410	24.2	12.2	13.5	148	097855189448	097855189448	0097855189448	c6963	1	Minimum Order Quantity
988-000560(YETI)	Logitech - Consumer	988-000560	Logitech G Yeti Orb RGB Gaming Mic with LIGHTSYNC (White)	Logitech G Yeti Orb RGB Gaming Mic with LIGHTSYNC (White)		Headset & Microphone			82.57	90.86			90.83	99.95			NO	3	59	EOR	0.520	12.2	13.5	24.2	62	097855189431	097855189431	0097855189431	DA00002400	1	Minimum Order Quantity
988-000571(YETI)	Logitech - Consumer	988-000571	Logitech G Yeti GX Dynamic Gaming Microphone - Black	Logitech G Yeti GX Dynamic Gaming Microphone - Black		Headset & Microphone			203.06	227.23			223.37	249.95			NO	0	29	EOR	0.990	8.4	14.2	31	29	097855190963	097855190963	0097855190963	c6965	1	Minimum Order Quantity
988-000578(YETI)	Logitech - Consumer	988-000578	Logitech G Yeti GX Dynamic RGB Gaming Mic with LIGHTSYNC (White)	Logitech G Yeti GX Dynamic RGB Gaming Mic with LIGHTSYNC (White)		Headset & Microphone			203.06	227.23			223.37	249.95			NO	15	0	EOR	0.990	14.2	31	8.4	15	097855191007	097855191007	0097855191007	DA00002399	1	Minimum Order Quantity
989-000171(EXPANMIC)	Logitech - Commercial	989-000171	Logitech Group Expansion Mics (2x)	Logitech Group Expansion Mics (2x)		Video Conferencing Solutions			474.66	599.95			522.13	659.95			NO	14	0	EOR	0.540	4.1	9.5	19.5	14	097855119551	097855119551	0097855119551	B2800	1	Minimum Order Quantity
989-000405(MEETUPEXPAN)	Logitech - Commercial	989-000405	MeetUp ConferenceCam Expansion Mic	MeetUp ConferenceCam Expansion Mic		Video Conferencing Solutions			294.52	372.68			323.97	409.95			NO	18	7	EOR	0.430	8.7	3.7	17.1	25	097855131171	097855131171	0097855131171	F5524	1	Minimum Order Quantity
989-000430(RALLYPOD)	Logitech - Commercial	989-000430	Rally Mic Pod accessory for the Logitech Rally Ultra-HD ConferenceCam	Rally Mic Pod accessory for the Logitech Rally Ultra-HD ConferenceCam		Video Conferencing Solutions			488.07	618.14			536.88	679.95			NO	24	0	EOR	0.380	12.5	4.8	12.5	24	097855142955	097855142955	0097855142955	J0665	1	Minimum Order Quantity
991-000391(APPBUNDLE)	Logitech - Commercial	991-000391	Logitech Rally Bar Mini & Tap IP Appliance Bundle	Logitech Rally Bar Mini & Tap IP Appliance Bundle		Video Conferencing Solutions			5437.29	6881.77			5981.02	7569.95			NO	43	0	EOR	8.700	28.7	25	79.7	43	97855173560	97855173560	0097855173560	b8812	1	Minimum Order Quantity
991-000425(APPBUNDLE)	Logitech - Commercial	991-000425	Logitech Rally Bar & Tap IP Appliance Bundle	Logitech Rally Bar & Tap IP Appliance Bundle		Video Conferencing Solutions			6454.88	8163.59			7100.37	8979.95			NO	24	0	EOR	13.000	31.41	26.21	101.01	24	97855173638	97855173638	0097855173638	b8813	1	Minimum Order Quantity
991-000481(RALLYTAPIP)	Logitech - Commercial	991-000481	Rally Bar Huddle + TAP IP Bundle - Graphite	Rally Bar Huddle + TAP IP Bundle - Graphite		Video Conferencing Solutions			3762.78	4754.50			4139.06	5229.95			NO	35	0	EOR	6.100	26.23	21.86	63.36	35	097855193070	097855193070	0097855193070	c6871	1	Minimum Order Quantity
993-001951	Logitech - Commercial	993-001951	OTHER - Logitech Rally Ultra-HD ConferenceCam - BLACK - USB - N/A - WW - DISPLAY HUB	OTHER - Logitech Rally Ultra-HD ConferenceCam - BLACK - USB - N/A - WW - DISPLAY HUB		Video Conferencing Solutions			689.00	809.05			757.90	889.95			NO	5	0	EOR	1.130	26.3	21.5	26	5			5099206083769	DA00000574	1	Minimum Order Quantity
993-001952	Logitech - Commercial	993-001952	OTHER - Logitech Rally Ultra-HD ConferenceCam - BLACK - USB - N/A - WW - TABLE HUB	OTHER - Logitech Rally Ultra-HD ConferenceCam - BLACK - USB - N/A - WW - TABLE HUB		Video Conferencing Solutions			603.63	709.05			663.99	779.95			NO	0	0	EOR	0.710	24	16.5	26.5	0			5099206083776	DA00000575	1	Minimum Order Quantity
994-000148	Logitech - Commercial	994-000148	Logitech Select Three Year Plan	Logitech Select Three Year Plan		Warranty Upgrade			1159.60	1363.59			1275.56	1499.95			NO	B	B	EOR	0.000	0	0	0	B				DA00004517	1	Minimum Order Quantity
994-000196	Logitech - Commercial	994-000196	Logitech Select Five Year Plan	Logitech Select Five Year Plan		Warranty Upgrade			1755.66	2064.50			1931.23	2270.95			NO	B	B	EOR	0.000	0	0	0	B				DA00004519	1	Minimum Order Quantity
994-000204	Logitech - Commercial	994-000204	Logitech Sync Plus Five Year Plan	Logitech Sync Plus Five Year Plan		Warranty Upgrade			174.31	205.45			191.74	226.00			NO	B	B	EOR	0.000	0	0	0	B				DA00004524	1	Minimum Order Quantity
99H12362-00(FOCUS3-BATTERY)	HTC	99H12362-00	[BATTERY ONLY]HTC swappable Battery Pack for VIVE Focus 3 / Vision	[BATTERY ONLY]HTC swappable Battery Pack for VIVE Focus 3 / Vision		Smart Device & CE - Accessory			157.85	162.73			173.64	179.00			NO	0	0	EOR	0.310	0	0	0	0	4718487723553	4718487723553	4718487723553	DA00020177	1	Minimum Order Quantity
99H20746-00(FOCUS3-CHARGER)	HTC	99H20746-00	Focus 3 Multi Battery Charger	Focus 3 Multi Battery Charger		Smart Device & CE - Accessory			219.57	226.36			241.53	249.00			NO	10	0	EOR	1.380	0	0	0	10	4718487720613		4718487720613	b8041	1	Minimum Order Quantity
99HATV003-00(BASE-STATIONS2.0)	HTC	99HATV003-00	[SINGLE UNIT] Base Station 2.0 - Wider tracking area. Powers the presence and immersion of room-scale VR by tracking the HMD and controllers	[SINGLE UNIT] Base Station 2.0 - Wider tracking area. Powers the presence and immersion of room-scale VR by tracking the HMD and controllers		Smart Device & CE - Accessory			290.12	299.09			319.13	329.00			NO	0	0	EOR	0.680	0	0	0	0	4718487721672	4718487721672	4718487721672	c3050	1	Minimum Order Quantity
99HAUM030-00(FOCUS-VISION-CE)	HTC	99HAUM030-00	HTC VIVE Focus Vision CE (Consumer Edition)	HTC VIVE Focus Vision CE (Consumer Edition)		Wearable & Virtual Reality Device			1674.57	1726.36			1842.03	1899.00			NO	2	0	EOR	2.600	14.22	34.8	38.61	2	4718487723621		4718487723621	DA00021564	1	Minimum Order Quantity
99HAUM038-00(FOCUS-VISION-BE)	HTC	99HAUM038-00	VIVE Focus Vision BE (Business Edition) includes 2 Yr. BWS	VIVE Focus Vision BE (Business Edition) includes 2 Yr. BWS		Wearable & Virtual Reality Device			2115.48	2180.91			2327.03	2399.00			NO	34	0	EOR	2.250	14.22	34.8	38.61	34	4718487723706		4718487723706	DA00020306	1	Minimum Order Quantity
99T54AA	HP System - Commercial	99T54AA	HP DM v4+ VESA Sleeve (replaces 13L67AA)	HP DM v4+ VESA Sleeve (replaces 13L67AA)		Desktop PC Accessory - Commercial			30.80	39.00			33.88	42.90			NO	176	8	EOR	0.590	9.5	23.2	18.4	184	197961148213	197961148213	0197961148213	DA00005803	1	Minimum Order Quantity
99T55AA	HP System - Commercial	99T55AA	HP DM v4+ VESA Sleeve with Power Supply Holder (replaces 13L68AA)	HP DM v4+ VESA Sleeve with Power Supply Holder (replaces 13L68AA)		Desktop PC Accessory - Commercial			67.00	85.00			73.70	93.50			NO	31	0	EOR	0.960	9.5	23.2	18.4	31	197961148220	197961148220	0197961148220	DA00005804	1	Minimum Order Quantity
9RR51A	HP - Print	9RR51A	HP Advanced A4 20sht FSC Photo Paper	HP Advanced A4 20sht FSC Photo Paper		Print Consumable - Paper / Other Supplies			15.02	18.14			16.52	19.95			NO	0	0	EOR	0.600	1.42	22.6	31.24	0			0194721875549	R3466	1	Minimum Order Quantity
